ESD_um_,Area,Eccentricity,EquivDiameter,FilledArea,OD,MajorAxisLength,MeanIntensity,MinorAxisLength,Orientation,Perimeter,Solidity,AspectRatio,Circularity,SettlingVelocity_mpd_
55.8291179,17,0.6109585,4.652426492,17,0.247750155,5.308994113,31.64705882,4.202932212,74.82837556,11.421,1,1.263164345,1,2.942874947
60.55518053,20,0.482654724,5.046265044,20,0.321488199,5.551900391,54.55,4.862413878,69.8724496,13.563,1,1.141799224,0.900674942,4.27441536
57.44768838,18,0.599962792,4.787307365,18,0.258936453,5.728921871,35.66666667,4.58329736,-34.72197739,14.787,0.9,1.2499564,0.703703918,31.872
260.4576798,370,0.254780871,21.70480665,370,0.258936453,22.31134736,40.97297297,21.57504646,67.06902672,77.021,0.893719807,1.034127431,0.723549218,4.373074286
186.6436014,190,0.713284636,15.55363345,190,0.323690839,18.78670571,58.45263158,13.16712248,-4.36251201,49.224,0.95,1.426789015,0.870705763,18.99173647
128.4569364,90,0.628310189,10.7047447,90,0.312880141,12.24112363,54.6,9.52314029,59.5244217,31.377,0.947368421,1.285408306,0.949174827,12.03306985
27.08110001,4,0,2.256758334,4,0.225469467,2.309401077,26,2.309401077,0,3.556,1,1,1,3.30624
38.29845892,8,0.782272678,3.191538243,8,0.222440471,4.27914326,25,2.665633063,70.67009587,7.774,1,1.60530094,0.84373334,1.0368
57.44768838,18,0.667544364,4.787307365,18,0.225469467,5.830424064,26.22222222,4.341158993,-38.97871243,13.1,1,1.343057021,0.857482255,9.423966316
50.66409895,14,0.668139199,4.222008246,14,0.231271157,5.113673813,28.92857143,3.804758925,-90,10.594,0.933333333,1.344020453,0.932487662,8.221988571
71.64985586,28,0.652271356,5.970821321,28,0.251883407,7.408570869,41.78571429,5.615589585,-15.34447937,19.766,0.875,1.319286382,0.670515763,5.508370286
117.2646029,75,0.703138284,9.772050238,75,0.395421462,12.03228431,70.48,8.555593416,-47.04410616,33.999,0.862068966,1.40636467,0.68324029,14.5421568
40.62165002,9,0.872742868,3.385137501,9,0.231271157,5.321085497,29.11111111,2.597648462,-59.22146431,9.461,0.9,2.048424017,0.71208621,1.966464
33.16743835,6,0.908344026,2.763953196,6,0.258936453,4.920352519,40.5,2.057808429,-28.86217784,7.774,0.857142857,2.39106442,0.632800005,5.4432
48.82114734,13,0.403254991,4.068428945,13,0.250496356,4.449142816,37.23076923,4.071355657,30.96375653,10.015,0.928571429,1.09279149,0.943770415,2.42568
176.5471723,170,0.504259828,14.71226436,170,0.263326587,15.9788945,42.30588235,13.79860602,-52.25085817,45.428,0.928961749,1.15800788,0.90558634,22.87131429
104.0069381,59,0.528026141,8.667244841,59,0.304676613,9.916810909,56.81355932,8.421634654,-35.64281052,32.999,0.808219178,1.17753991,0.567637836,7.189982609
40.62165002,9,0.78357864,3.385137501,9,0.222440471,4.677236707,22.22222222,2.905932629,90,8.998,0.9,1.609547537,0.767439494,0.93312
46.90584114,12,0.821944765,3.908820095,12,0.223954969,5.418786822,26.75,3.086363275,-85.16332228,10.015,1,1.755719058,0.871172691,3.347382857
143.9380209,113,0.304429616,11.99483508,113,0.319285559,12.37359913,56.61946903,11.78628418,-68.02237426,35.413,0.949579832,1.049830373,0.955291843,11.083392
54.16220002,16,0.929586163,4.513516668,16,0.236843247,7.831560083,28.875,2.886751346,90,14.696,0.888888889,2.712931993,0.631913106,2.2685184
54.16220002,16,0.911583025,4.513516668,16,0.222440471,7.594048001,28.5625,3.122034853,-21.76018211,14.051,0.888888889,2.432403339,0.680216402,2.629701818
27.08110001,4,0.731925055,2.256758334,4,0.212602917,3.055050463,23,2.081665999,0,4.59,1,1.467598771,0.840875939,0.780068571
33.16743835,6,0.745355992,2.763953196,6,0.246386284,3.464101615,32.33333333,2.309401077,0,5.516,1,1.5,1,2.122272
59.02188911,19,0.656685446,4.918490759,19,0.231271157,5.871338644,32.21052632,4.427955689,-76.71747441,13.381,0.95,1.325970506,0.874595167,1.587656348
172.8741698,163,0.347814945,14.40618082,163,0.247750155,15.08813819,36.99386503,14.14608321,-7.446581914,45.304,0.936781609,1.066594758,0.87274812,19.2865536
98.576692,53,0.270435088,8.214724333,53,0.323690839,8.697512274,53.9245283,8.373427407,61.95955927,26.597,0.898305085,1.038703968,0.753086581,9.389886792
42.81897879,10,0.5874078,3.568248232,10,0.277372834,4.085747586,41.9,3.306559138,90,8.328,1,1.235649331,0.955243026,1.70215513
38.29845892,8,0.580947502,3.191538243,8,0.222440471,3.651483717,25,2.972092417,-45,6.831,1,1.228590234,1,1.83168
97.64229468,52,0.594276946,8.13685789,52,0.384109922,9.139082927,67.46153846,7.350203175,77.56827889,22.652,0.981132075,1.243378273,0.982176489,7.470542769
135.4055001,100,0.64879212,11.28379167,100,0.41895269,13.28783321,68.21,10.1115852,55.0792305,38.589,0.862068966,1.31411969,0.721607036,22.65408
30.27759026,5,0.765092056,2.523132522,5,0.264809505,3.306559138,48.8,2.12916259,18.43494882,4.962,1,1.552985739,0.956807706,0.996923077
23.45292057,3,0.730296743,1.954410048,3,0.216029193,2.581988897,23.33333333,1.763834207,45,3.093,1,1.463850109,0.969873184,1.558816744
33.16743835,6,0.755928946,2.763953196,6,0.217664963,3.944053189,25.83333333,2.581988897,0,7.402,1,1.527525232,0.678240746,0.326916
83.46955606,38,0.436605283,6.955796338,38,0.238211875,7.473931303,31.84210526,6.72394599,-8.05e-15,19.212,1,1.111539461,0.955649849,8.93184
33.16743835,6,0.745355992,2.763953196,6,0.287656491,3.464101615,48.83333333,2.309401077,90,5.516,1,1.5,1,0.7399296
44.90892382,11,0.726101471,3.742410319,11,0.219300732,4.739293244,24.18181818,3.258679081,-14.7137282,9.643,0.916666667,1.454360226,0.845724203,30.81950208
76.59691784,32,0.541938633,6.383076486,32,0.231271157,7.072038115,29.0625,5.943468564,12.99632879,17.235,0.96969697,1.189883994,0.968493511,6.174267429
33.16743835,6,0.456435465,2.763953196,6,0.216029193,3.265986324,24.16666667,2.905932629,-63.43494882,6.277,0.857142857,1.123902974,0.849941599,1.176231724
30.27759026,5,0.765092056,2.523132522,5,0.219300732,3.306559138,24.6,2.12916259,-18.43494882,4.962,1,1.552985739,0.956807706,0.613948235
74.16464679,30,0.468893831,6.180387232,30,0.235460697,6.703009385,30.26666667,5.920463445,38.18194757,17.028,0.967741935,1.132176467,0.926695095,4.698702651
82.36395021,37,0.598161313,6.863662518,37,0.234078146,7.996201708,29.02702703,6.407961898,72.00998569,21.428,0.925,1.247854128,0.770221568,6.102308571
130.5803354,93,0.538215238,10.88169461,93,0.239580502,12.14381162,33.77419355,10.23489462,-81.16150402,34.644,0.902912621,1.186510665,0.818540808,111.6337371
57.44768838,18,0.602439488,4.787307365,18,0.216029193,5.874451413,23.88888889,4.68877892,-80.56820622,15.937,0.857142857,1.252874472,0.621426398,3.4176
57.44768838,18,0.650867752,4.787307365,18,0.293119465,5.910111554,58.11111111,4.486904258,76.93126066,14.994,0.857142857,1.317191367,0.687731417,3.806758209
